HUC12_1,AREAACRES,AREASQKM
40400020501,31266.52,126.53
71200061004,7890.05,31.93
71200040201,23174.28,93.78
71200061103,13960.34,56.5
71200040501,24528.57,99.26
71200040302,32350.9,130.92
71200040301,14867.1,60.17
71200061008,19586.64,79.26
71200040202,19333.58,78.24
71200061009,15602.99,63.14
71200061010,9831.24,39.79
71200061006,22926.7,92.78
71200061005,12444.38,50.36
71200061105,21059.11,85.22
71200061007,10892.23,44.08
71200030402,8676.63,35.11
71200030201,17607.96,71.26
71200040505,27090.64,109.63
71200040601,25670.17,103.88
71200040603,31303.26,126.68
71200030104,14685.72,59.43
71200030105,18169.63,73.53
71200030203,14087.4,57.01
71200030107,58694.38,237.53
71200030202,16269.95,65.84
71200030106,27001.46,109.27
40400020503,9515.24,38.51
71200030305,16391.16,66.33
71200040602,12832.74,51.93
71200030204,20442.56,82.73
71200030401,15893.41,64.32
71200040703,20921.54,84.67
40400010603,34563.76,139.87
71200030403,22147.07,89.63
71200061205,29170.7,118.05
71200030404,12635.07,51.13
71200030407,17191.8,69.57
71200030405,26798.56,108.45
71200040807,28262.21,114.37
71200070108,18869.2,76.36
71200040805,28853,116.76
71200070104,15175.25,61.41
71200040806,21337.89,86.35
71200040704,8384.46,33.93
71200070107,10635.01,43.04
71200040803,25396.93,102.78
71200040804,26176.68,105.93
71200040802,30170,122.09
71200030103,18335.11,74.2
71200030102,15319.82,62
71200061104,23913.22,96.77
71200061202,20744.88,83.95
40400020502,14988.38,60.66
71200040503,29219.63,118.25
71200030101,19335.46,78.25
71200040502,19145.03,77.48
71200040705,53421.63,216.19
71200040404,29246.63,118.36
71200070101,10129.54,40.99
71200040706,30897.92,125.04
71200040504,13382.79,54.16
71200040801,21514.5,87.07
71200040702,13218.22,53.49
71200040401,31691.57,128.25
71200040701,12111.56,49.01
71200040506,28842.36,116.72
71200040402,18736.21,75.82
71200040403,15477.88,62.64
